-876,794,159,6428,2596,16232,9
-855,636,-1005,6660,2724,15772,10
-951,624,-154,2420,2000,16560,1
-199,-370,595,-464,5488,17992,2
-3130,627,8423,-1420,7480,15988,3
-978,-932,11672,1620,-1132,19100,4
-4934,-3252,6496,2880,-5032,17544,5
-714,-4869,8338,7016,-10232,12944,6
1502,-2134,5412,6460,-8980,15444,7
-40,-580,6746,4088,-4548,17712,8
-746,1115,1038,6104,-7448,16868,9
-1246,-365,-2824,4676,-1672,17060,10
-837,1264,512,1944,1312,18164,1
-1073,842,-101,2976,1084,17788,2
-1071,-72,-191,4032,380,17108,3
-1347,54,-571,3716,424,17288,4
-1072,-505,-242,2316,2880,17600,5
478,-1290,996,212,4880,18944,6
2444,-1666,3073,-1652,7768,17184,7
4620,499,8057,-3828,10968,25000,8
-8481,-1426,12407,3872,-7180,14348,9
-7718,258,10101,12588,-19080,13788,10
-2273,1578,244,6720,2016,17144,1
-309,92,-467,6960,1620,16456,2
393,-64,-1416,6748,2108,16780,3
1460,-905,-1943,5136,4560,14504,4
2749,-3230,-5706,-632,17464,9880,5
1179,1779,2844,-7664,23708,16576,6
-10863,9046,26605,4024,-32768,28844,7
-2802,-2422,10544,11236,-21212,15524,8
418,-1132,610,8816,-2832,12940,9
-2232,1860,648,4860,-48,19416,10
-1289,496,159,4432,1672,17316,1
-973,-51,-456,4392,1556,16652,2
-358,-22,-693,3840,2320,17032,3
-310,1102,-628,3332,5688,16072,4
-845,2232,1982,1632,8376,15004,5
-2799,2142,3621,1932,8320,15504,6
-8242,-366,6068,-104,2104,19176,7
-3117,-2623,6672,3040,-3644,15504,8
-846,-174,10054,5664,-7544,14408,9
-1807,-417,5704,7276,-9940,16388,10
-1274,28,-547,3688,116,17092,1
-1145,-279,-391,4048,-1108,17976,2
-86,-566,-1519,3420,-148,17500,3
-465,-289,-1695,2920,1892,15812,4
1233,-2374,-2095,-64,5904,17516,5
-783,-1312,-691,-4300,12708,18508,6
-19034,5321,29995,-15112,-6872,29096,7
3346,-11645,8534,18516,-30128,12108,8
5537,1490,-3782,9576,-3028,11088,9
3165,1943,-1719,5348,660,15180,10
-1145,280,-72,4920,-28,16968,1
-349,344,-588,4464,520,17112,2
-709,-61,-946,3904,1924,16336,3
-2306,-2130,-86,1704,2832,17304,4
1421,-522,350,1800,8424,15540,5
-5261,5412,5678,40,5780,19048,6
5274,570,14047,-2444,7108,22060,7
-13461,-6292,18289,4616,-15860,12692,8
3039,-2130,3219,12556,-14412,12556,9
5880,3506,-1542,6628,-1240,13592,10
-950,252,-342,-10292,8400,9020,0
-928,270,-310,-10132,8372,8984,0
-942,249,-292,-10252,7956,9036,0
-911,248,-317,-9996,8312,9156,0
-912,259,-292,-9988,8276,8968,0
-947,252,-355,-10036,8432,9068,0
-961,233,-347,-10292,8244,8860,0
-896,247,-297,-10280,8340,9060,0
-938,244,-318,-10016,8236,9036,0
-938,4,-311,-10208,8176,8728,0
-561,97,-831,4152,2256,16620,1
-1371,88,-25,3804,1772,17600,2
-1155,-624,-150,4240,856,16848,3
190,232,-1639,2020,3488,17652,4
642,-1268,-991,-1760,12320,16332,5
-588,2411,6468,-7784,12628,20488,6
-7942,-3459,21844,1980,-14816,16792,7
-2277,-5199,6497,13460,-17248,18100,8
764,279,-1717,8428,-2320,15716,9
164,1831,-1589,4556,-1028,17640,10
-714,-196,133,3188,564,17700,1
-749,-725,-525,2964,620,18108,2
-388,-1770,-1520,3664,284,17472,3
-693,-1183,-2135,3168,2796,16444,4
2633,-553,-850,360,7332,15960,5
1615,2980,4647,-4212,13276,16820,6
-6404,3466,21729,-7300,1256,20416,7
-12403,-7909,27965,1804,-19544,16860,8
3657,-3696,-1723,13744,-14492,9968,9
5232,4061,-1556,6804,952,11208,10
-885,253,-327,-10192,8264,8948,0
-940,249,-296,-10160,8336,9052,0
-925,258,-329,-10296,8292,9084,0
-921,262,-287,-10192,8640,9044,0
-952,278,-312,-10268,8244,9068,0
-920,229,-309,-10328,8320,8964,0
-939,229,-326,-10448,8272,8988,0
-927,260,-287,-10148,8248,9036,0
-927,220,-324,-10192,8308,8964,0
-913,507,-341,-10192,8280,8768,0
-975,-55,206,5404,2104,16128,1
-2071,82,308,4888,2520,16976,2
-1096,-1398,810,5404,540,17588,3
258,-2654,207,3848,6184,17488,4
-736,-3285,3487,1888,8608,15400,5
1155,-2963,14229,824,6996,11208,6
197,878,10879,11120,-11260,14644,7
625,2340,7654,10416,-9376,15264,8
1558,-149,-1494,8900,-2776,15456,9
344,496,-1878,7228,-112,16088,10
-1468,296,-197,5712,2776,15948,1
-1159,-172,255,5692,2916,16592,2
-1076,-1064,-46,5052,3972,16636,3
-801,-2669,994,3156,6388,15532,4
2438,-5404,3700,180,16048,17720,5
